profile,seed,rating,policy,scenario,n_matches,prediction_log_loss,brier_score,rating_mae,rating_rmse,rating_volatility,expected_winprob_deviation,team_mmr_gap,role_mismatch_rate,within_team_variance,waiting_time_proxy,unfair_match_exposure,new_player_unfair_exposure,smurf_victimization,tail_unfairness_p95,cvar_unfairness_worst5,visible_rank_volatility,mmr_rank_divergence,churn_risk_proxy,loss_streak_exposure
medium,107,dynamic_k,nearest,smurf_disruption,1470,0.693502052301658,0.25017554608620196,393.92585808420915,507.062698276406,0.16746899097895265,0.2414927712821026,47.90023868228079,0.0,55.898993525402766,6.146802721088435,3.936111111111111,2.523076923076923,1.9638888888888888,0.4648724066590283,0.4779585860992507,162.42148590844556,23.282672602212845,0.3148057718749709,0.6583333333333333
medium,107,dynamic_k,role_aware,smurf_disruption,336,0.6989171883948851,0.252872506311521,411.5311199121614,530.2180168406658,0.1344231112558253,0.14869955890222394,9.703275514289887,0.0,6415.65786281217,5.811904761904762,2.2083333333333335,0.527027027027027,2.861111111111111,0.3313841022704227,0.36353349835748633,160.8129422044806,15.177022580938335,0.15746070156119835,0.3888888888888889
medium,107,dynamic_k,multi_objective,smurf_disruption,336,0.6989171883948851,0.252872506311521,411.5311199121614,530.2180168406658,0.1344231112558253,0.14869955890222394,9.703275514289887,0.0,6415.65786281217,5.811904761904762,2.2083333333333335,0.527027027027027,2.861111111111111,0.3313841022704227,0.36353349835748633,160.8129422044806,15.177022580938335,0.15746070156119835,0.3888888888888889
medium,107,dynamic_k,nearest,skill_drift,1218,0.6945042971921747,0.2506452286686998,368.8613123229391,480.218151546062,0.1632216887048602,0.22309928229775852,44.83303807012964,0.0,111.3925401324806,6.0657635467980295,3.3777777777777778,2.3142857142857145,1.6916666666666667,0.45637348291883323,0.47777468144938867,147.29854583212276,21.90163407268751,0.2717744360811062,0.6097222222222223
medium,107,dynamic_k,role_aware,skill_drift,336,0.6964744577806976,0.2516647408365146,384.63938334809677,495.1222349740435,0.1352402070381703,0.14555802387686176,10.29847841800636,0.0,5903.161469731337,5.866666666666666,2.0833333333333335,0.4358974358974359,2.8680555555555554,0.3238512642321631,0.3821817216373481,146.04382567897738,15.522139550490346,0.15385751527037558,0.41805555555555557
medium,107,dynamic_k,multi_objective,skill_drift,336,0.6964744577806976,0.2516647408365146,384.63938334809677,495.1222349740435,0.1352402070381703,0.14555802387686176,10.29847841800636,0.0,5903.161469731337,5.866666666666666,2.0833333333333335,0.4358974358974359,2.8680555555555554,0.3238512642321631,0.3821817216373481,146.04382567897738,15.522139550490346,0.15385751527037558,0.41805555555555557
medium,107,dynamic_k,nearest,seasonal_reset,1218,0.6933150696293068,0.2500817492383837,362.43513443450945,474.96495009193615,0.16285854293719532,0.22151803389152858,44.80057490820686,0.0,101.09173567793042,6.0657635467980295,3.1638888888888888,2.0757575757575757,1.8152777777777778,0.45683280755811895,0.4758144416779253,147.21947777573823,22.68554675275914,0.24734976956990506,0.6430555555555556
medium,107,dynamic_k,role_aware,seasonal_reset,336,0.6929548650552518,0.24990881288986902,378.80074131262256,493.30505304831485,0.1355887164303988,0.1383556167796206,8.726578708779945,0.0,5587.849461996414,5.8532738095238095,1.9305555555555556,0.7108433734939759,2.852777777777778,0.32045126769176147,0.3650777892002092,146.79008140840975,15.889164282916381,0.13981438116084952,0.4166666666666667
medium,107,dynamic_k,multi_objective,seasonal_reset,336,0.6929548650552518,0.24990881288986902,378.80074131262256,493.30505304831485,0.1355887164303988,0.1383556167796206,8.726578708779945,0.0,5587.849461996414,5.8532738095238095,1.9305555555555556,0.7108433734939759,2.852777777777778,0.32045126769176147,0.3650777892002092,146.79008140840975,15.889164282916381,0.13981438116084952,0.4166666666666667
medium,107,dynamic_k,nearest,role_scarcity,1218,0.6936594258147144,0.2502529756705916,364.26235021450765,477.582676099053,0.16357640417281438,0.2213231419695104,44.86573373949452,0.0,105.57271590977388,6.0657635467980295,3.3666666666666667,2.4,1.7722222222222221,0.4593961529997847,0.4757534478825484,146.59375418441974,22.74510367670348,0.27108602933672754,0.6986111111111111
medium,107,dynamic_k,role_aware,role_scarcity,336,0.6924997858392026,0.24969285449351925,381.0001510546868,492.4858020496092,0.13446376799484422,0.1433040853719886,9.906759106021022,0.0,6055.339451360617,5.847619047619047,2.0555555555555554,0.4805194805194805,2.9277777777777776,0.3232735112873457,0.37588664208831474,146.23694144892593,14.829685876408137,0.14247529256700608,0.36527777777777776
medium,107,dynamic_k,multi_objective,role_scarcity,336,0.6924997858392026,0.24969285449351925,381.0001510546868,492.4858020496092,0.13446376799484422,0.1433040853719886,9.906759106021022,0.0,6055.339451360617,5.847619047619047,2.0555555555555554,0.4805194805194805,2.9277777777777776,0.3232735112873457,0.37588664208831474,146.23694144892593,14.829685876408137,0.14247529256700608,0.36527777777777776
medium,107,dynamic_k,nearest,rank_mmr_divergence,1218,0.6935429770693226,0.25018510400103244,361.2462400584152,468.17151197190094,0.16350298915934525,0.22178023008227177,45.03099486366966,0.0,99.43528351679377,6.0657635467980295,3.2416666666666667,2.1,1.8194444444444444,0.4524667156671508,0.4739168385727908,123.90816719045708,32.230680949647606,0.2686703192874686,0.6458333333333334
medium,107,dynamic_k,role_aware,rank_mmr_divergence,336,0.6910716618249344,0.24897716169486278,375.61626240397396,485.3459420027891,0.13448827396295862,0.14061828233477022,7.9851238214066385,0.0,5036.414655918555,5.838988095238095,1.9444444444444444,0.46153846153846156,2.988888888888889,0.3219695651713815,0.3652012289140685,124.03707623639514,21.07738348273961,0.1433759307679778,0.42083333333333334
medium,107,dynamic_k,multi_objective,rank_mmr_divergence,336,0.6910716618249344,0.24897716169486278,375.61626240397396,485.3459420027891,0.13448827396295862,0.14061828233477022,7.9851238214066385,0.0,5036.414655918555,5.838988095238095,1.9444444444444444,0.46153846153846156,2.988888888888889,0.3219695651713815,0.3652012289140685,124.03707623639514,21.07738348273961,0.1433759307679778,0.42083333333333334
medium,107,dynamic_k,nearest,pareto_strict,1218,0.6936594258147144,0.2502529756705916,364.26235021450765,477.582676099053,0.16357640417281438,0.2213231419695104,44.86573373949452,0.0,105.57271590977388,6.0657635467980295,3.3666666666666667,2.4,1.7722222222222221,0.4593961529997847,0.4757534478825484,146.59375418441974,22.74510367670348,0.27108602933672754,0.6986111111111111
medium,107,dynamic_k,role_aware,pareto_strict,336,0.6924919651718713,0.24966870212777847,381.6314379573203,496.1173094682142,0.13511202899761365,0.14578401872579855,7.235759721596659,0.0,5384.091227027686,5.930059523809524,2.1666666666666665,0.6794871794871795,2.8722222222222222,0.3195011531542087,0.35711381095016737,145.78898290259477,15.047325408749453,0.15466455682997945,0.41944444444444445
medium,107,dynamic_k,multi_objective,pareto_strict,336,0.6924919651718713,0.24966870212777847,381.6314379573203,496.1173094682142,0.13511202899761365,0.14578401872579855,7.235759721596659,0.0,5384.091227027686,5.930059523809524,2.1666666666666665,0.6794871794871795,2.8722222222222222,0.3195011531542087,0.35711381095016737,145.78898290259477,15.047325408749453,0.15466455682997945,0.41944444444444445
medium,107,dynamic_k,nearest,pareto_fast,1218,0.6936594258147144,0.2502529756705916,364.26235021450765,477.582676099053,0.16357640417281438,0.2213231419695104,44.86573373949452,0.0,105.57271590977388,6.0657635467980295,3.3666666666666667,2.4,1.7722222222222221,0.4593961529997847,0.4757534478825484,146.59375418441974,22.74510367670348,0.27108602933672754,0.6986111111111111
medium,107,dynamic_k,role_aware,pareto_fast,336,0.7024025161809624,0.2545883994278172,378.8901110767382,490.93567687894,0.13479492696581627,0.15114451260643663,14.132426769781834,0.0,5981.5650495739055,5.729761904761905,2.1944444444444446,0.7407407407407407,2.9444444444444446,0.32221207336179825,0.3620352645875069,146.0152976194785,15.06068777765368,0.14924431094963309,0.38472222222222224
medium,107,dynamic_k,multi_objective,pareto_fast,336,0.7024025161809624,0.2545883994278172,378.8901110767382,490.93567687894,0.13479492696581627,0.15114451260643663,14.132426769781834,0.0,5981.5650495739055,5.729761904761905,2.1944444444444446,0.7407407407407407,2.9444444444444446,0.32221207336179825,0.3620352645875069,146.0152976194785,15.06068777765368,0.14924431094963309,0.38472222222222224
medium,108,dynamic_k,nearest,cold_start,1218,0.6928829771638901,0.24987239179486903,360.527532857508,460.3368351330654,0.16230696983067527,0.21926472232987013,45.156184945558515,0.0,81.33149567954383,5.963054187192118,3.2055555555555557,2.126865671641791,1.523611111111111,0.456997694828037,0.4765464184025767,139.58732551050426,21.870827771313092,0.2463207382945309,0.6013888888888889
medium,108,dynamic_k,role_aware,cold_start,336,0.6953279333893091,0.2510888695964902,377.1765664036861,480.06019502516494,0.13448895536076166,0.13668202535936227,9.158184947503633,0.0,5213.7026504889145,5.7336309523809526,1.8472222222222223,0.58,2.661111111111111,0.3111829951102094,0.35530560200170963,138.4301241989821,15.725660365321033,0.13159275575738993,0.41805555555555557
medium,108,dynamic_k,multi_objective,cold_start,336,0.6953279333893091,0.2510888695964902,377.1765664036861,480.06019502516494,0.13448895536076166,0.13668202535936227,9.158184947503633,0.0,5213.7026504889145,5.7336309523809526,1.8472222222222223,0.58,2.661111111111111,0.3111829951102094,0.35530560200170963,138.4301241989821,15.725660365321033,0.13159275575738993,0.41805555555555557
medium,108,dynamic_k,nearest,smurf_disruption,1218,0.69385912759864,0.25033148336700184,416.0198604736967,549.4238977003672,0.16081131981124747,0.24073647980957952,44.9933935365172,0.0,95.92960078781286,6.007799671592775,3.4916666666666667,2.032258064516129,2.1486111111111112,0.46841784665525205,0.4819012270062285,163.86834295853285,22.882884340824578,0.2772908494190479,0.6402777777777777
medium,108,dynamic_k,role_aware,smurf_disruption,336,0.6990378162459643,0.25293392629615946,426.9161447600942,566.7087201095466,0.1325585737460258,0.1414716838285581,9.435416673003777,0.0,5634.319054766082,5.826190476190476,2.013888888888889,0.6164383561643836,2.915277777777778,0.32511241539516955,0.3677693297375131,162.80462642280088,14.274966402159016,0.14270046721876442,0.38472222222222224
medium,108,dynamic_k,multi_objective,smurf_disruption,336,0.6990378162459643,0.25293392629615946,426.9161447600942,566.7087201095466,0.1325585737460258,0.1414716838285581,9.435416673003777,0.0,5634.319054766082,5.826190476190476,2.013888888888889,0.6164383561643836,2.915277777777778,0.32511241539516955,0.3677693297375131,162.80462642280088,14.274966402159016,0.14270046721876442,0.38472222222222224
medium,108,dynamic_k,nearest,skill_drift,1218,0.692787124716222,0.24982934420452094,362.17022502229594,465.87403457058264,0.16177741942834564,0.2234295239739079,45.25945950720755,0.0,72.4564645749136,5.997126436781609,3.297222222222222,2.380952380952381,1.6666666666666667,0.45432473366213155,0.4708218614487517,141.88026330699378,22.320739938516994,0.26181793719740676,0.5916666666666667
medium,108,dynamic_k,role_aware,skill_drift,336,0.6930442173312831,0.24995022235028813,371.04135468227946,475.3082908955565,0.13338585312026233,0.14313503388644314,8.159449105610864,0.0,4234.358429766156,5.906547619047619,2.0277777777777777,0.5492957746478874,2.7625,0.34104116153824404,0.36965188173028507,140.65159905407373,15.32471655252375,0.13907897847284562,0.42777777777777776
